,id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back,program_year
0,1924601586,17060,Base Repair,Paved as part of 2016 City paving program.,Completed,BALDWICK RD,2016,2016-10-31,NOBLESTOWN RD,STEEN ST,2016
1,1512981617,9881,Base Repair,Paved as part of 2016 City paving program.,Completed,GLENBURY ST,2016,2016-10-31,KOHEN ST,SELDON ST,2016
2,640675845,6563,Base Repair,Paved as part of City 2016 paving program.,Completed,S BELLEFIELD AVE,2016,2016-10-01,FILMORE ST,FIFTH AVE,2016
3,538119097,17748,Base Repair,Paved as part of City 2016 paving program.,Completed,S BELLEFIELD AVE,2016,2016-10-01,FORBES AVE,FILMORE ST,2016
4,726876041,17060,Base Repair,,Completed,BALDWICK RD,2009,2009-06-05,NOBLESTOWN RD,STEEN ST,
5,1280601859,2137,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,SUSQUEHANNA ST,ANNAN WAY,
6,1567782563,373,Base Repair,,Completed,LIME ST,2009,2009-04-14,DEAD END,SAW MILL RUN BLVD,
7,176640290,14702,Base Repair,,Completed,JILLSON AVE,2013,2013-10-02,PARQUET ST,BROOKLINE BLVD,
8,2010963472,5678,Base Repair,,Completed,WESTMONT AVE,2009,2009-07-20,W AGNEW RD,COPPERFIELD AVE,
9,2074462995,11938,Base Repair,,Completed,BRABEC ST,2014,2014-07-25,BASIN ST,PROVINCE ST,
10,905276843,2706,Base Repair,,Completed,SANTRON AVE,2012,2012-07-25,AZUR WAY,WESTMONT AVE,
11,1025083285,11054,Base Repair,,Completed,DARLINGTON RD,2010,2010-09-03,E CIRCUIT RD,DARLINGTON CT,
12,2042518736,7346,Base Repair,,Completed,COLTART AVE,2010,2010-08-20,UNNAMED28L WAY,LOUISA ST,
13,552260254,19767,Base Repair,,Completed,MONITOR ST,2014,2014-05-30,MONITOR ST,BEECHWOOD BLVD,
14,1415255480,11495,Base Repair,,Completed,KING AVE,2012,2012-10-09,BEVERLY PL,HAMPTON ST,
15,1364867302,14157,Base Repair,,Completed,CATO ST,2010,2010-08-10,GORMAN WAY,ROMEO ST,
16,243811416,6413,Base Repair,,Completed,WALLINGFORD ST,2014,2014-06-09,MOREWOOD AVE,UNNAMED51P52B WAY,
17,1640713031,9748,Base Repair,,Completed,ORMSBY ST,2009,2009-10-08,COMO ST,OTTILLIA ST,
18,1096275364,7305,Base Repair,,Completed,STEWART AVE,2010,2010-06-30,PARKDALE AVE,BETHESDA ST,
19,704784555,10601,Base Repair,,Completed,VINIAL ST,2009,2009-07-28,SPRING GARDEN AVE,AHLERS WAY,
20,1694370237,15714,Base Repair,,Completed,SIMONA DR,2012,2012-05-10,WOODBINE ST,FARMINGTON ST,
21,444512824,1798,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,SUSQUEHANNA ST,SUSQUEHANNA ST,
22,946333708,11102,Base Repair,,Completed,AYLESBORO AVE,2012,2012-06-26,MURDOCH RD,FORBES AVE,
23,698519712,8617,Base Repair,,Completed,DARTMORE ST,2010,2010-07-01,YALE DR,MIDWOOD AVE,
24,1448364265,14355,Base Repair,,Completed,FIERRO WAY,2009,2009-06-17,DEAD END,UNNAMED41D WAY,
25,781479063,4118,Base Repair,,Completed,FORBES AVE,2009,2009-07-01,SCHENLEY DR,AYLESBORO AVE,
26,1593530797,10345,Base Repair,,Completed,SENECA ST,2009,2009-05-15,WATSON ST,FIFTH AVE,
27,1939750723,10692,Base Repair,,Completed,DARLINGTON RD,2009,2009-08-11,SHADY AVE,MURRAY AVE,
28,1085004112,5292,Base Repair,,Completed,BRINWOOD AVE,2013,2013-11-08,CUSTER AVE,WATERMAN AVE,
29,281505083,7127,Base Repair,,Completed,THIELMAN AVE,2010,2010-06-24,MT JOSEPH ST,OAKHURST ST,
30,46177785,6368,Base Repair,,Completed,PARKFIELD ST,2015,2015-04-27,FAIRLAND ST,RIOTA WAY,
31,1070802643,4221,Base Repair,,Completed,ROSEWOOD ST,2009,2009-08-13,S MURTLAND ST,DEAD END,
32,1261491786,15689,Base Repair,,Completed,MAYVILLE AVE,2009,2009-07-15,LA MOINE ST,ELMBANK ST,
33,1220234693,41,Base Repair,,Completed,COLLIER ST,2009,2009-08-13,FLEURY WAY,KELLY ST,
34,822279152,2774,Base Repair,,Completed,LINDBERG AVE,2010,2010-05-27,THEODORE ST,MOONEY RD,
35,470936892,16038,Base Repair,,Completed,FORBES AVE,2009,2009-07-01,MURRAY AVE,FORBES TER,
36,786672045,5524,Base Repair,,Completed,FORBES AVE,2009,2009-07-01,MURDOCH RD,SCHENLEY DR,
37,662956396,9035,Base Repair,,Completed,LEMINGTON AVE,2009,2009-05-19,LUZZO WAY,HIGHLAND DR,
38,1600490874,7301,Base Repair,,Completed,AYLESBORO AVE,2012,2012-06-26,WIGHTMAN ST,MURDOCH RD,
39,157774075,7349,Base Repair,,Completed,ONEIDA ST,2010,2010-06-02,PONKA WAY,GRANDVIEW AVE,
40,1837725382,10468,Base Repair,,Completed,AUBURN ST,2009,2009-08-14,PAULSON AVE,ASHLEY ST,
41,2065325380,2270,Base Repair,,Completed,WELFER ST,2013,2013-06-24,WINDSOR ST,FRANK ST,
42,1390544966,17797,Base Repair,,Completed,LILAC ST,2010,2010-07-06,BEECHWOOD BLVD,MURRAY AVE,
43,259598321,17529,Base Repair,,Completed,WELFER ST,2013,2013-06-24,FRANK ST,MIRROR ST,
44,744564287,11641,Base Repair,,Completed,ENGLISH LN,2014,2014-06-30,EOP,BEECHWOOD BLVD,
45,697627308,7756,Base Repair,,Completed,N CRAIG ST,2011,2011-08-31,CENTRE AVE,BAYARD ST,
46,1825446564,7167,Base Repair,,Completed,ALCOVE WAY,2013,2013-11-14,TRANSVERSE AVE,REDROSE WAY,
47,2143553661,344,Base Repair,,Completed,VALERA ST,2009,2009-07-21,OLIVET AVE,RAVILLA AVE,
48,12196261,9972,Base Repair,,Completed,SERENE ST,2009,2009-07-24,JOBO WAY,NOSTER ST,
