,id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back,program_year,geometry,Length of Paved Road (meters)
0,1924601586,17060,Base Repair,Paved as part of 2016 City paving program.,Completed,BALDWICK RD,2016,2016-10-31,NOBLESTOWN RD,STEEN ST,2016.0,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
1,1924601586,17060,Base Repair,Paved as part of 2016 City paving program.,Completed,BALDWICK RD,2016,2016-10-31,NOBLESTOWN RD,STEEN ST,2016.0,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
2,1924601586,17060,Base Repair,Paved as part of 2016 City paving program.,Completed,BALDWICK RD,2016,2016-10-31,NOBLESTOWN RD,STEEN ST,2016.0,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
3,726876041,17060,Base Repair,,Completed,BALDWICK RD,2009,2009-06-05,NOBLESTOWN RD,STEEN ST,,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
4,726876041,17060,Base Repair,,Completed,BALDWICK RD,2009,2009-06-05,NOBLESTOWN RD,STEEN ST,,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
5,726876041,17060,Base Repair,,Completed,BALDWICK RD,2009,2009-06-05,NOBLESTOWN RD,STEEN ST,,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
6,1225220531,17060,Superpave,,Completed,BALDWICK RD,2009,2009-06-05,NOBLESTOWN RD,STEEN ST,,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
7,1225220531,17060,Superpave,,Completed,BALDWICK RD,2009,2009-06-05,NOBLESTOWN RD,STEEN ST,,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
8,1225220531,17060,Superpave,,Completed,BALDWICK RD,2009,2009-06-05,NOBLESTOWN RD,STEEN ST,,"LINESTRING (-80.06311387330331 40.42781863552617, -80.0628781122536 40.4276234166178, -80.06264058511607 40.42746839154573, -80.06243682295512 40.4273549090878, -80.06213054056238 40.42721189956922, -80.06200328611753 40.42715523781349, -80.06169183481865 40.42701859429886, -80.06157196452546 40.42696770456752, -80.06133486588431 40.42687745570326, -80.06127850648168 40.42685907507961, -80.061207684203 40.42683597945207, -80.06097358773154 40.42678093737122, -80.06080597557425 40.42675236834509, -80.06053440767735 40.4267178978548, -80.06024442701205 40.42669658082103, -80.0600479879173 40.42669184256177, -80.05973737205161 40.42671066703676, -80.05940251784294 40.42676927602936, -80.05902127373467 40.42683730676362, -80.05878986592086 40.4268738526118, -80.0586471469784 40.42688774868616, -80.05862020290976 40.42689037185107, -80.05843626836376 40.42689670751884, -80.05819398554512 40.42687795011108, -80.05800596815615 40.4268436930397, -80.05767884754377 40.42676081227224, -80.05734472456372 40.42666801791356, -80.05734102350476 40.42666699011637, -80.05707500450134 40.42657138850028, -80.05695103070393 40.42651860216458)",569.6094674714819
9,1512981617,9881,Base Repair,Paved as part of 2016 City paving program.,Completed,GLENBURY ST,2016,2016-10-31,KOHEN ST,SELDON ST,2016.0,"LINESTRING (-79.99873722597108 40.384430470933, -79.99889534293582 40.38467658227052, -79.99893181812962 40.38473405095441, -79.9991105433453 40.38489807048375, -79.99935644727285 40.38509802179613, -79.99939970384872 40.38513159260381, -79.99961218056625 40.38529649453305, -79.99964203787134 40.38531693584098, -79.99991227895659 40.38547934254453, -79.99998406872083 40.38551887570505, -80.00028526125918 40.38566712006042, -80.00035773643798 40.38570028893158, -80.00065590794203 40.38585211012197, -80.00094979538051 40.38601002005457, -80.00103852287943 40.38605943337521, -80.00131931198271 40.38625526826665, -80.00135749936545 40.3862831839313)",307.3457840574101
